Retailer,Address,CITY,ZIP,County,Game,Year,Month,Winnings
HARDIN MINI MART,46381 HWY 10,HARDIN,64035,RAY,TRIPLE PLAY,2016,1,4
MURPHY USA 7182,90 CECIL ST,CAMDENTON,65020,CAMDEN,TRIPLE PLAY,2016,1,74
MR CONVENIENCE,230 E MCCARTY,JEFFERSON CITY,65101,COLE,TRIPLE PLAY,2016,1,4
MR CONVENIENCE,230 E MCCARTY,JEFFERSON CITY,65101,COLE,TRIPLE PLAY,2016,2,0
CARR LANE COUNTRY STOP,8845 STATE HWY 86 WEST,SHELL KNOB,65747,STONE,TRIPLE PLAY,2016,1,146
SAMRA MART,209 N STATE ROUTE 7,PLEASANT HILL,64080,CASS,TRIPLE PLAY,2016,1,0
SORANO'S MEXICAN FOOD,419 SW WARD RD,LEES SUMMIT,64081,JACKSON,TRIPLE PLAY,2016,1,4
SORANO'S MEXICAN FOOD,419 SW WARD RD,LEES SUMMIT,64081,JACKSON,TRIPLE PLAY,2016,2,0
TROOST AMOCO,6401 TROOST AVE,KANSAS CITY,64131,JACKSON,TRIPLE PLAY,2016,1,4
SIGNAL FOOD STORE #109,2810 E BATTLEFIELD ST A,SPRINGFIELD,65804,GREENE,TRIPLE PLAY,2016,1,10
MUDDY CREEK EAGLE STOP,23685 HWY MM,SEDALIA,65301,PETTIS,TRIPLE PLAY,2016,1,32
MILLERS QUICK SHOP,1601 ST FRANCOIS RD,BONNE TERRE,63628,ST. FRANCOIS,TRIPLE PLAY,2016,1,80
MILLERS QUICK SHOP,1601 ST FRANCOIS RD,BONNE TERRE,63628,ST. FRANCOIS,TRIPLE PLAY,2016,2,0
HITT MINI MART,111 HITT ST,COLUMBIA,65201,BOONE,TRIPLE PLAY,2016,1,4
MURPHY USA 7181,4800 S CLARK ST,MEXICO,65265,AUDRAIN,TRIPLE PLAY,2016,1,4
MURPHY USA 7192,610 NE CORONADO DR,BLUE SPRINGS,64014,JACKSON,TRIPLE PLAY,2016,1,40
MURPHY USA 7192,610 NE CORONADO DR,BLUE SPRINGS,64014,JACKSON,TRIPLE PLAY,2016,3,0
MURPHY USA 7192,610 NE CORONADO DR,BLUE SPRINGS,64014,JACKSON,TRIPLE PLAY,2016,4,0
MURPHY USA 7192,610 NE CORONADO DR,BLUE SPRINGS,64014,JACKSON,TRIPLE PLAY,2016,5,0
MURPHY USA 7192,610 NE CORONADO DR,BLUE SPRINGS,64014,JACKSON,TRIPLE PLAY,2016,6,0
MURPHY USA 7692,2027 W BUSINESS US HWY 6,DEXTER,63841,STODDARD,TRIPLE PLAY,2016,1,0
MPC 12,12188 BELLEFONTAINE RD,ST LOUIS,63138,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,40
MPC 17,1060 BRYAN RD,OFALLON,63366,ST. CHARLES,TRIPLE PLAY,2016,1,20
MPC 17,1060 BRYAN RD,OFALLON,63366,ST. CHARLES,TRIPLE PLAY,2016,2,0
THOELE CONV STORE #750,6025 HOWDERSHELL,HAZELWOOD,63042,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,54
THOELE CONV STORE #750,6025 HOWDERSHELL,HAZELWOOD,63042,ST. LOUIS COUNTY,TRIPLE PLAY,2016,2,0
THOELE CONV STORE #750,6025 HOWDERSHELL,HAZELWOOD,63042,ST. LOUIS COUNTY,TRIPLE PLAY,2016,3,0
THOELE CONV STORE #750,6025 HOWDERSHELL,HAZELWOOD,63042,ST. LOUIS COUNTY,TRIPLE PLAY,2016,4,0
CASEYS 2593,5795 OSAGE BEACH PKWY,OSAGE BEACH,65065,CAMDEN,TRIPLE PLAY,2016,1,16
BREAK TIME 3114,E 2709 BROADWAY STE 300,COLUMBIA,65201,BOONE,TRIPLE PLAY,2016,1,16
BREAK TIME 3114,E 2709 BROADWAY STE 300,COLUMBIA,65201,BOONE,TRIPLE PLAY,2016,2,0
COUNTRY MART EXPRESS,508 EAST 5TH ST,DIXON,65459,PULASKI,TRIPLE PLAY,2016,1,26
COUNTRY MART EXPRESS,508 EAST 5TH ST,DIXON,65459,PULASKI,TRIPLE PLAY,2016,2,0
HOUSE SPRINGS BP,4685 OLD GRAVOIS RD,HOUSE SPRINGS,63051,JEFFERSON,TRIPLE PLAY,2016,1,28
HOUSE SPRINGS BP,4685 OLD GRAVOIS RD,HOUSE SPRINGS,63051,JEFFERSON,TRIPLE PLAY,2016,2,0
RICK'S 66,700 S HIGHWAY 53,POPLAR BLUFF,63901,BUTLER,TRIPLE PLAY,2016,1,0
RICK'S 66,700 S HIGHWAY 53,POPLAR BLUFF,63901,BUTLER,TRIPLE PLAY,2016,2,0
RICK'S 66,700 S HIGHWAY 53,POPLAR BLUFF,63901,BUTLER,TRIPLE PLAY,2016,4,0
TWIN ISLAND SHOPPING CTR,4833 E HWY 86,BLUE EYE,65611,STONE,TRIPLE PLAY,2016,1,100
PAPPY'S,2501 MESSANIE ST,ST JOSEPH,64501,BUCHANAN,TRIPLE PLAY,2016,1,8
STANGS CONVENIENCE STORE,497 E HWY 76,ANDERSON,64831,MCDONALD,TRIPLE PLAY,2016,1,12
STANGS CONVENIENCE STORE,497 E HWY 76,ANDERSON,64831,MCDONALD,TRIPLE PLAY,2016,2,0
JUNCTION FUEL & GROCERY,447 BOONESLICK RD,NEW FLORENCE,63363,MONTGOMERY,TRIPLE PLAY,2016,1,28
HUGHES SELF SERVICE LLC,19116 HWY 69,LAWSON,64062,CLAY,TRIPLE PLAY,2016,1,4
HUGHES SELF SERVICE LLC,19116 HWY 69,LAWSON,64062,CLAY,TRIPLE PLAY,2016,2,0
ON THE GO,402 HWY BUS 60 E,DEXTER,63841,STODDARD,TRIPLE PLAY,2016,1,4
POOHS CORNER BAR & GRILL,6023 VIRGINIA AVE,ST LOUIS,63111,ST. LOUIS CITY,TRIPLE PLAY,2016,1,18
PHILLIPS 66,301 W 5TH ST,EUREKA,63025,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,24
C & R SUPERMARKET 2483,600 S CHURCH ST,FAYETTE,65248,HOWARD,TRIPLE PLAY,2016,1,0
EZ-GO,4851S LIMIT AVE,SEDALIA,65301,PETTIS,TRIPLE PLAY,2016,1,4
QUIKTRIP 648,3291 S KINGSHIGHWAY BLVD,ST LOUIS,63139,ST. LOUIS CITY,TRIPLE PLAY,2016,1,6
QUIKTRIP 648,3291 S KINGSHIGHWAY BLVD,ST LOUIS,63139,ST. LOUIS CITY,TRIPLE PLAY,2016,2,0
BULLSEYE-CALHOUN,200 W MAIN ST,CALHOUN,65323,HENRY,TRIPLE PLAY,2016,1,10
POUR BOYS 2,2601 CHOUTEAU TFWY,N KANSAS CITY,64116,CASS,TRIPLE PLAY,2016,1,16
DISCOUNT SMOKE SHOP 18,4645 GRAVOIS RD,HOUSE SPRINGS,63051,JEFFERSON,TRIPLE PLAY,2016,1,0
PEERY'S MARKET,37905 E 50 HWY,LONE JACK,64070,JACKSON,TRIPLE PLAY,2016,1,24
C AND C CNTRY STORE LLC,104 SOUTH FRONT ST,EXETER,65647,BARRY,TRIPLE PLAY,2016,1,0
CASEYS 2596,1201 BRIARBROOK DR,CARL JUNCTION,64834,JASPER,TRIPLE PLAY,2016,1,0
FAMILY CONVENIENCE MART,3126 MAGNOLIA,ST LOUIS,63118,ST. LOUIS CITY,TRIPLE PLAY,2016,1,0
BEVERLEY HILLS LIQ/GROC,6714 NATURAL BRIDGE RD,BEVERLY HILLS,63121,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,40
BEVERLEY HILLS LIQ/GROC,6714 NATURAL BRIDGE RD,BEVERLY HILLS,63121,ST. LOUIS COUNTY,TRIPLE PLAY,2016,2,0
MURPHY USA 7230,1021 WALTON DR,FREDERICKTOWN,63645,MADISON,TRIPLE PLAY,2016,1,86
MURPHY USA 7230,1021 WALTON DR,FREDERICKTOWN,63645,MADISON,TRIPLE PLAY,2016,2,0
S & B LIQUORS,3320 E HWY 54,ELDORADO SPRINGS,64744,CEDAR,TRIPLE PLAY,2016,1,4
AKT ENTERPRISES INC,1360 THORNTON ST,PACIFIC,63069,FRANKLIN,TRIPLE PLAY,2016,1,6
AKT ENTERPRISES INC,1360 THORNTON ST,PACIFIC,63069,FRANKLIN,TRIPLE PLAY,2016,2,0
QUIKTRIP 660,1500 ZUMBEHL,ST CHARLES,63303,ST. CHARLES,TRIPLE PLAY,2016,1,32
QUIKTRIP 660,1500 ZUMBEHL,ST CHARLES,63303,ST. CHARLES,TRIPLE PLAY,2016,2,0
GAS MART 6,209 E GRAND AVE,ST LOUIS,63147,ST. LOUIS CITY,TRIPLE PLAY,2016,1,10
QUICK SHOP,13696 NEW GARDEN RD,EXCELSIOR SPG,64024,RAY,TRIPLE PLAY,2016,1,0
RAPID ROBERT'S 114,3351 E SUNSHINE ST,SPRINGFIELD,65804,GREENE,TRIPLE PLAY,2016,1,26
RAPID ROBERT'S 114,3351 E SUNSHINE ST,SPRINGFIELD,65804,GREENE,TRIPLE PLAY,2016,3,0
MPC 10,15302 MANCHESTER RD,BALLWIN,63011,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,76
MPC 10,15302 MANCHESTER RD,BALLWIN,63011,ST. LOUIS COUNTY,TRIPLE PLAY,2016,2,0
HAMPTON OIL,1051 HAMPTON AVE,ST LOUIS,63139,ST. LOUIS CITY,TRIPLE PLAY,2016,1,0
HAMPTON OIL,1051 HAMPTON AVE,ST LOUIS,63139,ST. LOUIS CITY,TRIPLE PLAY,2016,3,0
MCBEE'S GENERAL STORE,13437 NW STATE J,AMSTERDAM,64723,BATES,TRIPLE PLAY,2016,1,0
CHEROKEE MARKET,2850 CHEROKEE ST,ST LOUIS,63118,ST. LOUIS CITY,TRIPLE PLAY,2016,1,0
HYVEE WINE & SPIRITS 1406,1217 S MAIN ST,MARYVILLE,64468,NODAWAY,TRIPLE PLAY,2016,1,4
TIPTON ONE-STOP,350 US HIGHWAY 50 W,TIPTON,65081,MONITEAU,TRIPLE PLAY,2016,1,24
CASEYS 2611,1254 E CENTRAL ST,ORONOGO,64855,JASPER,TRIPLE PLAY,2016,1,8
ROCKHILL SHELL,900 E 63RD ST,KANSAS CITY,64110,JACKSON,TRIPLE PLAY,2016,1,54
ROCKHILL SHELL,900 E 63RD ST,KANSAS CITY,64110,JACKSON,TRIPLE PLAY,2016,2,0
AFFTON BP,8501 MORGANFORD RD,ST LOUIS,63123,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,118
AFFTON BP,8501 MORGANFORD RD,ST LOUIS,63123,ST. LOUIS COUNTY,TRIPLE PLAY,2016,2,0
PARK HILLS RIVER MART,10 FLAT RIVER DR,PARK HILLS,63601,ST. FRANCOIS,TRIPLE PLAY,2016,1,34
KUM & GO 778,1102 S 169 HWY,SMITHVILLE,64089,CLAY,TRIPLE PLAY,2016,1,24
KUM & GO 778,1102 S 169 HWY,SMITHVILLE,64089,CLAY,TRIPLE PLAY,2016,2,0
QUIK BREAK C-STORE 2,502 SW OUTER RD,ARCHIE,64725,CASS,TRIPLE PLAY,2016,1,0
LAKEWAY 1 STOP,8044 W STATE HWY 76,CAPE FAIR,65624,STONE,TRIPLE PLAY,2016,1,16
LAKEWAY 1 STOP,8044 W STATE HWY 76,CAPE FAIR,65624,STONE,TRIPLE PLAY,2016,2,0
CONVENIENCE BARN 5,13 W KARSCH BLVD,FARMINGTON,63640,ST. FRANCOIS,TRIPLE PLAY,2016,1,56
JEFF CITY-STADIUM BP,807 STADIUM BLVD,JEFFERSON CITY,65109,COLE,TRIPLE PLAY,2016,1,0
BRUMBY'S SPORTS STOP LLC,205 E 4TH ST,ELDON,65026,MILLER,TRIPLE PLAY,2016,1,10
ST CHARLES QUICK SHOP,2010 CAMPUS DR,ST CHARLES,63301,ST. CHARLES,TRIPLE PLAY,2016,1,12
ST CHARLES QUICK SHOP,2010 CAMPUS DR,ST CHARLES,63301,ST. CHARLES,TRIPLE PLAY,2016,2,0
CASEYS 2625,8084 EAST 7TH ST,DUENWEG,64841,JASPER,TRIPLE PLAY,2016,1,0
SCHNUCKS MARKET 191,11253 ST CHARLES RK RD,BRIDGETON,63044,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,90
SCHNUCKS MARKET 191,11253 ST CHARLES RK RD,BRIDGETON,63044,ST. LOUIS COUNTY,TRIPLE PLAY,2016,2,0
HY-VEE GAS 1321,207 NE ENGLEWOOD RD STE,KANSAS CITY,64118,CLAY,TRIPLE PLAY,2016,1,4
19TH HOLE,4253 REAVIS BARRACKS RD,ST LOUIS,63125,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,4
NEIGHBORHOOD GROCERIES,306 BAILEY RD,CRYSTAL CITY,63019,JEFFERSON,TRIPLE PLAY,2016,1,0
QUIKTRIP 664,11444 ST CHARLES RK RD,BRIDGETON,63044,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,58
QUIKTRIP 664,11444 ST CHARLES RK RD,BRIDGETON,63044,ST. LOUIS COUNTY,TRIPLE PLAY,2016,2,0
QUIKTRIP 664,11444 ST CHARLES RK RD,BRIDGETON,63044,ST. LOUIS COUNTY,TRIPLE PLAY,2016,6,0
SOUTHSIDE CITGO,1401 S BROADWAY ST,POPLAR BLUFF,63901,BUTLER,TRIPLE PLAY,2016,1,0
FAV TRIP,10507 E 23RD ST,INDEPENDENCE,64052,JACKSON,TRIPLE PLAY,2016,1,0
HY-VEE GAS 1261,14170 E HWY 40,KANSAS CITY,64136,JACKSON,TRIPLE PLAY,2016,1,82
HY-VEE GAS 1261,14170 E HWY 40,KANSAS CITY,64136,JACKSON,TRIPLE PLAY,2016,2,0
HY-VEE GAS 1261,14170 E HWY 40,KANSAS CITY,64136,JACKSON,TRIPLE PLAY,2016,4,0
FINAL DESTINATION CAFE,10660 ST CHARLES RK RD,ST ANN,63074,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,0
U-GAS BRYAN RD 226,879 BRYAN RD,OFALLON,63366,ST. CHARLES,TRIPLE PLAY,2016,1,36
MIDWAY BAR & GRILL,13551 HWY 32,STE GENEVIEVE,63670,ST. GENEVIEVE,TRIPLE PLAY,2016,1,0
RANCH HOUSE THE,230 W GRAVOIS AVE,SAINT CLAIR,63077,FRANKLIN,TRIPLE PLAY,2016,1,0
BLUE X DISC SMK & CONV,8300 WORNALL,KANSAS CITY,64114,JACKSON,TRIPLE PLAY,2016,1,4
MAIN ST GROCERY,8953 FRISCO ST,BIRCH TREE,65438,SHANNON,TRIPLE PLAY,2016,1,0
CASEYS 2616,625 STATE ROUTE J,PECULIAR,64078,CASS,TRIPLE PLAY,2016,1,18
GOOD TIME PKG LIQUOR,9916 HALLS FERRY RD,ST LOUIS,63136,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,16
21 EXPRESS,8776 N HWY 21,IRONTON,63650,IRON,TRIPLE PLAY,2016,1,4
WORLDS LIQUOR 1,8108 NW PRAIRIE VIEW DR,KANSAS CITY,64151,PLATTE,TRIPLE PLAY,2016,1,20
WORLDS LIQUOR 1,8108 NW PRAIRIE VIEW DR,KANSAS CITY,64151,PLATTE,TRIPLE PLAY,2016,2,0
QUIK BREAK C-STORE 3,101 CHERRY HILL DR,BELTON,64012,CASS,TRIPLE PLAY,2016,1,22
QUIK BREAK C-STORE 3,101 CHERRY HILL DR,BELTON,64012,CASS,TRIPLE PLAY,2016,2,0
JESSE'S LAST STOP,12751 COUNTRY PLACE DR,ST JOSEPH,64505,ANDREW,TRIPLE PLAY,2016,1,12
MURPHY USA 7289,723 ROBERT RAYMOND DR,LAKE ST LOUIS,63367,ST. CHARLES,TRIPLE PLAY,2016,1,16
MURPHY USA 7289,723 ROBERT RAYMOND DR,LAKE ST LOUIS,63367,ST. CHARLES,TRIPLE PLAY,2016,2,0
MURPHY USA 7289,723 ROBERT RAYMOND DR,LAKE ST LOUIS,63367,ST. CHARLES,TRIPLE PLAY,2016,4,0
BATTLEFIELD EAGLE STOP,820 E BATTLEFIELD ST,SPRINGFIELD,65807,GREENE,TRIPLE PLAY,2016,1,14
BATTLEFIELD EAGLE STOP,820 E BATTLEFIELD ST,SPRINGFIELD,65807,GREENE,TRIPLE PLAY,2016,2,0
WEST END TAVERN & GROC,6153 MAIN ST,FROHNA,63748,PERRY,TRIPLE PLAY,2016,1,0
D DIAMOND TRAVEL PLAZA,13 STATE HWY 215,FAIR GROVE,65648,GREENE,TRIPLE PLAY,2016,1,36
TOP DISC SMK & CONV STR,9033 E 350 HWY,RAYTOWN,64133,JACKSON,TRIPLE PLAY,2016,1,4
TRADING POST,HIGHWAY 254 & 64,HERMITAGE,65668,HICKORY,TRIPLE PLAY,2016,1,10
TRADING POST,HIGHWAY 254 & 64,HERMITAGE,65668,HICKORY,TRIPLE PLAY,2016,2,0
KK EAGLE STOP,5995 HWY 54 & KK,OSAGE BEACH,65065,CAMDEN,TRIPLE PLAY,2016,1,0
KK EAGLE STOP,5995 HWY 54 & KK,OSAGE BEACH,65065,CAMDEN,TRIPLE PLAY,2016,2,0
KK EAGLE STOP,5995 HWY 54 & KK,OSAGE BEACH,65065,CAMDEN,TRIPLE PLAY,2016,3,0
SAVE-A-LOT 470,542 S MAIN ST,BROOKFIELD,64628,LINN,TRIPLE PLAY,2016,1,0
THOELE CONV STORE #650,7407 SOUTH OUTER 364,DARDENNE PRAIRIE,63368,ST. CHARLES,TRIPLE PLAY,2016,1,0
VILLAGE TOO,4164 S GRAND BLVD,ST LOUIS,63118,ST. LOUIS CITY,TRIPLE PLAY,2016,1,0
HARTER HOUSE,1625 S EASTGATE AVE,SPRINGFIELD,65809,GREENE,TRIPLE PLAY,2016,1,6
TROOST 66,7501 TROOST AVE,KANSAS CITY,64131,JACKSON,TRIPLE PLAY,2016,1,0
SALAMA SUPERMARKET,1525 CHOUTEAU AVE,ST LOUIS,63103,ST. LOUIS CITY,TRIPLE PLAY,2016,1,0
VFW POST 4105,410 ST FRANCOIS,FLORISSANT,63031,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,0
HILLBILLY GAS MART,219 S HWY 60,MARIONVILLE,65705,LAWRENCE,TRIPLE PLAY,2016,1,4
CASEYS 2613,410 MILLER RD,WILLARD,65781,GREENE,TRIPLE PLAY,2016,1,26
MEINERS MARKET,1299 SW ARBORWALK BLVD,LEES SUMMIT,64082,JACKSON,TRIPLE PLAY,2016,1,28
MEINERS MARKET,1299 SW ARBORWALK BLVD,LEES SUMMIT,64082,JACKSON,TRIPLE PLAY,2016,2,0
VOSS TOM BOY MARKET,3993 HWY 50,BEAUFORT,63013,FRANKLIN,TRIPLE PLAY,2016,1,22
VOSS TOM BOY MARKET,3993 HWY 50,BEAUFORT,63013,FRANKLIN,TRIPLE PLAY,2016,2,0
QUIKTRIP 225,1251 NW BARRY RD,KANSAS CITY,64155,CLAY,TRIPLE PLAY,2016,1,106
QUIKTRIP 225,1251 NW BARRY RD,KANSAS CITY,64155,CLAY,TRIPLE PLAY,2016,2,0
PFEM HALL PROPERTY BOARD,115 MCMENAMY DR,ST PETERS,63376,ST. CHARLES,TRIPLE PLAY,2016,1,0
VERSAILLES EAGLE STOP,810 W NEWTON ST,VERSAILLES,65084,MORGAN,TRIPLE PLAY,2016,1,18
VERSAILLES EAGLE STOP,810 W NEWTON ST,VERSAILLES,65084,MORGAN,TRIPLE PLAY,2016,2,0
VERSAILLES EAGLE STOP,810 W NEWTON ST,VERSAILLES,65084,MORGAN,TRIPLE PLAY,2016,3,0
STEVENSONS HI-POINTE STA,981 S SKINKER BLVD,SAINT LOUIS,63105,ST. LOUIS CITY,TRIPLE PLAY,2016,1,4
VALLE MARKET,3241 HWY V,VALLES MINES,63087,JEFFERSON,TRIPLE PLAY,2016,1,4
FATTIES RENDEZVOUS,49 RENDEZVOUS CTR,EDWARDS,65326,CAMDEN,TRIPLE PLAY,2016,1,6
PETRO MART 37,664 JUNGERMANN RD,ST PETERS,63376,ST. CHARLES,TRIPLE PLAY,2016,1,52
PETRO MART 37,664 JUNGERMANN RD,ST PETERS,63376,ST. CHARLES,TRIPLE PLAY,2016,2,0
GENERAL STORE,442 BROADWAY AVE,GILMAN CITY,64642,HARRISON,TRIPLE PLAY,2016,1,4
GATES BAR BQ,1221 BROOKLYN AVE,KANSAS CITY,64127,JACKSON,TRIPLE PLAY,2016,1,0
HOLT TRUCK STOP,4850 SE PP HWY,HOLT,64048,CLINTON,TRIPLE PLAY,2016,1,6
MURPHY USA 7320,1201 OLD EXETER RD,CASSVILLE,65625,BARRY,TRIPLE PLAY,2016,1,8
DIERBERGS-WENTZVILLE CRS,1820 WENTZVILLE PKWY,WENTZVILLE,63385,ST. CHARLES,TRIPLE PLAY,2016,1,76
DIERBERGS-WENTZVILLE CRS,1820 WENTZVILLE PKWY,WENTZVILLE,63385,ST. CHARLES,TRIPLE PLAY,2016,2,0
SALEM BP,1103 S MAIN ST,SALEM,65560,DENT,TRIPLE PLAY,2016,1,20
BIXBY COUNTRY STORE,2569 HWY 32,BIXBY,65439,IRON,TRIPLE PLAY,2016,1,0
FASTLANE 42,301 SALT LICK RD,ST PETERS,63376,ST. CHARLES,TRIPLE PLAY,2016,1,36
FASTLANE 42,301 SALT LICK RD,ST PETERS,63376,ST. CHARLES,TRIPLE PLAY,2016,3,0
CASEYS 2619,1894 N HWY CC,NIXA,65714,CHRISTIAN,TRIPLE PLAY,2016,1,28
CASEYS 2619,1894 N HWY CC,NIXA,65714,CHRISTIAN,TRIPLE PLAY,2016,3,0
WAYSIDE SOUTH,6823 HWY O,CATAWISSA,63015,FRANKLIN,TRIPLE PLAY,2016,1,28
WAYSIDE SOUTH,6823 HWY O,CATAWISSA,63015,FRANKLIN,TRIPLE PLAY,2016,2,0
QUIKTRIP 652,2600 S OLD HWY 141,FENTON,63026,JEFFERSON,TRIPLE PLAY,2016,1,30
QUIKTRIP 652,2600 S OLD HWY 141,FENTON,63026,JEFFERSON,TRIPLE PLAY,2016,2,0
DAVE'S COUNTRY MARKET,538 S HWY 13,LEXINGTON,64067,LAFAYETTE,TRIPLE PLAY,2016,1,0
GULL-ABLES,91 E HWY 54,CAMDENTON,65020,CAMDEN,TRIPLE PLAY,2016,1,0
PETRO MART 49,5481 E ST CHARLES RD,COLUMBIA,65201,BOONE,TRIPLE PLAY,2016,1,38
PETRO MART 49,5481 E ST CHARLES RD,COLUMBIA,65201,BOONE,TRIPLE PLAY,2016,2,0
SUNSHINE FOOD MART,2200 S JEFFERSON,ST LOUIS,63104,ST. LOUIS CITY,TRIPLE PLAY,2016,1,0
RICHLAND FAS STOP,701 W WASHINGTON,RICHLAND,65556,CAMDEN,TRIPLE PLAY,2016,1,10
MURPHY USA 7150,2211 PATSY LANE,EXCELSIOR SPG,64024,CLAY,TRIPLE PLAY,2016,1,8
COUNTY LINE CONVENIENCE,322 W HELM ST,BROOKFIELD,64628,LINN,TRIPLE PLAY,2016,1,40
PAUL'S QUICK SHOP & STRG,397 BOLLINGER CREEK RD,CLIMAX SPRINGS,65324,CAMDEN,TRIPLE PLAY,2016,1,18
PAUL'S QUICK SHOP & STRG,397 BOLLINGER CREEK RD,CLIMAX SPRINGS,65324,CAMDEN,TRIPLE PLAY,2016,2,0
BRADFORD PHARMACY,307 N KENTUCKY AVE STE 1,WEST PLAINS,65775,HOWELL,TRIPLE PLAY,2016,1,0
MIDWEST FUELS,4501 CLEVELAND AVE,KANSAS CITY,64130,JACKSON,TRIPLE PLAY,2016,1,54
SIDE POCKETS,1439 BASS PRO DR,ST CHARLES,63301,ST. CHARLES,TRIPLE PLAY,2016,1,0
SWINDLES FOOD MART,506 LACLEDE ST,MALDEN,63863,DUNKLIN,TRIPLE PLAY,2016,1,0
CVS PHARMACY 08554,6129 NE ANTIOCH RD,GLADSTONE,64119,CLAY,TRIPLE PLAY,2016,1,30
CVS PHARMACY 08554,6129 NE ANTIOCH RD,GLADSTONE,64119,CLAY,TRIPLE PLAY,2016,2,0
CVS PHARMACY 08566,5310 BLUE RIDGE BLVD,RAYTOWN,64133,JACKSON,TRIPLE PLAY,2016,1,44
CVS PHARMACY 08566,5310 BLUE RIDGE BLVD,RAYTOWN,64133,JACKSON,TRIPLE PLAY,2016,2,0
CVS PHARMACY 08564,17301 E 24 HWY,INDEPENDENCE,64056,JACKSON,TRIPLE PLAY,2016,1,10
CVS PHARMACY 08565,330 NE BARRY RD,KANSAS CITY,64155,CLAY,TRIPLE PLAY,2016,1,0
CVS PHARMACY 08567,5011 MAIN ST,KANSAS CITY,64112,JACKSON,TRIPLE PLAY,2016,1,92
CVS PHARMACY 08570,1616 N 7TH HWY,BLUE SPRINGS,64014,JACKSON,TRIPLE PLAY,2016,1,0
CVS PHARMACY 08571,4750 LEES SUMMIT RD,KANSAS CITY,64136,JACKSON,TRIPLE PLAY,2016,1,0
CVS PHARMACY 08578,6300 PROSPECT AVE,KANSAS CITY,64132,JACKSON,TRIPLE PLAY,2016,1,10
CVS PHARMACY 08587,1735 S GLENSTONE AVE,SPRINGFIELD,65804,GREENE,TRIPLE PLAY,2016,1,8
CVS PHARMACY 08590,315 W 75TH ST,KANSAS CITY,64114,JACKSON,TRIPLE PLAY,2016,1,40
CVS PHARMACY 08590,315 W 75TH ST,KANSAS CITY,64114,JACKSON,TRIPLE PLAY,2016,2,0
CVS PHARMACY 08590,315 W 75TH ST,KANSAS CITY,64114,JACKSON,TRIPLE PLAY,2016,4,0
CVS PHARMACY 08598,9005 E 350 HWY,RAYTOWN,64133,JACKSON,TRIPLE PLAY,2016,1,16
CVS PHARMACY 08607,12000 S US HIGHWAY 71,GRANDVIEW,64030,JACKSON,TRIPLE PLAY,2016,1,4
GAS & GOODIES,HWY 162 & I 55,PORTAGEVILLE,63873,NEW MADRID,TRIPLE PLAY,2016,1,4
GAS & GOODIES,HWY 162 & I 55,PORTAGEVILLE,63873,NEW MADRID,TRIPLE PLAY,2016,2,0
WEST END STATION,1400 W 5TH ST,WASHINGTON,63090,FRANKLIN,TRIPLE PLAY,2016,1,10
SHOP N SAVE 4552,301 WATSON PLZ,ST LOUIS,63126,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,64
SHOP N SAVE 4552,301 WATSON PLZ,ST LOUIS,63126,ST. LOUIS COUNTY,TRIPLE PLAY,2016,4,0
AM-PM,1101 WILLIAM ST,CAPE GIRARDEAU,63703,CAPE GIRARDEAU,TRIPLE PLAY,2016,1,0
AM LIQUOR & MKT,3525 NEWMAN RD,JOPLIN,64801,JASPER,TRIPLE PLAY,2016,1,0
PHILLIPS 66,125 W 135TH ST,KANSAS CITY,64145,JACKSON,TRIPLE PLAY,2016,1,126
TRIDEL FOOD MART 1,11050 HOLMES RD,KANSAS CITY,64131,JACKSON,TRIPLE PLAY,2016,1,16
BREAK TIME 3115,1000 SMILEY LN,COLUMBIA,65202,BOONE,TRIPLE PLAY,2016,1,20
PETRO MART 33,698 GRAVOIS BLUFFS BLVD,FENTON,63026,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,32
PETRO MART 33,698 GRAVOIS BLUFFS BLVD,FENTON,63026,ST. LOUIS COUNTY,TRIPLE PLAY,2016,2,0
PETRO MART 33,698 GRAVOIS BLUFFS BLVD,FENTON,63026,ST. LOUIS COUNTY,TRIPLE PLAY,2016,3,0
HARTER HOUSE-HOLLISTER,175 GAGE DR,HOLLISTER,65672,TANEY,TRIPLE PLAY,2016,1,8
LINWOOD BP,3319 E LINWOOD BLVD,KANSAS CITY,64128,JACKSON,TRIPLE PLAY,2016,1,2
CEDAR JUNCTION,662 HIGHWAY Y,ELDON,65026,MILLER,TRIPLE PLAY,2016,1,0
ROUTE K ONE STOP,5827 K HWY,CAPE GIRARDEAU,63701,CAPE GIRARDEAU,TRIPLE PLAY,2016,1,8
